id,legacyId,firstName,lastName,department,school,avgRating,avgDifficulty,numRatings,wouldTakeAgainPercent
VGVhY2hlci0yODU4MDUz,2858053,Stephen,Smoot,Religion,Brigham Young University,4.4,2,9,88.8889
VGVhY2hlci05Nzk2MDA=,979600,Ray,Merrill,Health Science,Brigham Young University,3.1,3.4,188,51.1905
VGVhY2hlci0yOTE4MjMx,2918231,Ariel,Cuadra,Ancient Scripture,Brigham Young University,4.6,2.3,96,84.5361
VGVhY2hlci0yMjc5ODE1,2279815,Kristian,Cook,Biology,Brigham Young University,4.6,2.9,34,88.2353
VGVhY2hlci0yNTM5MTY1,2539165,Rebecca,Ballard,English Language & Literature,Brigham Young University,5,2.5,26,100
VGVhY2hlci04NTgyNTY=,858256,Amy,Harris,History,Brigham Young University,4.2,3.2,21,85.7143
VGVhY2hlci0yODMyODc5,2832879,Nathan,Leonhardt,Family Studies,Brigham Young University,4.5,3,10,90
VGVhY2hlci0yNzYxNTg4,2761588,Brandon,Huntington,Physical Education,Brigham Young University,4,1.3,7,57.1429
VGVhY2hlci0yOTc1Nzky,2975792,Kyle,Pratt,Mathematics,Brigham Young University,5,3.4,5,100
VGVhY2hlci0yODE0MjM2,2814236,Alex,Lee,Mathematics,Brigham Young University,4.3,2.8,4,75
VGVhY2hlci0yNjY0OTE5,2664919,Mary,Davis,Life Sciences,Brigham Young University,1,5,1,0
VGVhY2hlci01MDY2Mg==,50662,Cory,Barker,Computer Science,Brigham Young University,4.2,3,136,81.6667
VGVhY2hlci0yNjg0Mzg5,2684389,Wendy,Vawdrey,Plant & Wildlife Sciences,Brigham Young University,4.3,2.3,31,80.6452
VGVhY2hlci0xOTk1Njg0,1995684,Brooke,Downs,English,Brigham Young University,4.3,2.3,19,57.1429
VGVhY2hlci0yODgwMTgy,2880182,Darrell,Sonntag,Civil Engineering,Brigham Young University,2.4,2.5,10,30
VGVhY2hlci0zNzQ1NDM=,374543,Amy,Insalaco,Classics,Brigham Young University,4.3,2.2,35,76.9231
VGVhY2hlci04NjQ0OTk=,864499,Brian,Hill,Design,Brigham Young University,3,3.4,191,43.7126
VGVhY2hlci0yMDkxNDMy,2091432,Daniel,Olsen,Geography,Brigham Young University,3.1,3.2,62,53.2258
VGVhY2hlci0yMjgwMTM0,2280134,Becky,Paulsen,Mathematics,Brigham Young University,4.5,2.4,14,92.8571
VGVhY2hlci0xNTI0NDQ=,152444,Michael,Stark,Science,Brigham Young University,3.5,3.9,67,73.5294
VGVhY2hlci0yNjQ2OTEx,2646911,Quintin,Hunt,Family Studies,Brigham Young University,3.8,2.7,16,62.5
VGVhY2hlci0yMDk4MjUx,2098251,Paul,Conrad,Family Studies,Brigham Young University,3.5,3.3,6,66.6667
VGVhY2hlci0yOTI4MjQ1,2928245,Benjamin,Larson,Foreign Languages,Brigham Young University,5,2.3,4,100
VGVhY2hlci05MTQ5NTA=,914950,Richard Kent,Watt,Chemistry,Brigham Young University,4.4,3.1,148,89.1304
VGVhY2hlci0yNTYyNjQ=,256264,Laralee,Ireland,Science,Brigham Young University,2.9,3.6,143,46.087
VGVhY2hlci0yNjQzMjk2,2643296,Aaron,Coombs,Political Science,Brigham Young University,4.4,3.1,19,85
VGVhY2hlci0yOTcyODc3,2972877,Christopher,Tracy,Chemistry,Brigham Young University,3.1,3.9,15,46.6667
VGVhY2hlci0xODk5NTc=,189957,Richard,Fry,Industrial Design,Brigham Young University,4.5,3.3,12,100
VGVhY2hlci01OTA1NTE=,590551,Peter,Everett,Fine Arts,Brigham Young University,4.7,3,11,100
VGVhY2hlci0yMzEzNTA4,2313508,David,Morgan,Industrial Design,Brigham Young University,5,3.7,3,100
VGVhY2hlci0yNTI0NzQy,2524742,Bryan,Howell,Industrial Design,Brigham Young University,5,4,2,100
VGVhY2hlci0xODM0NDQ=,183444,Dawson,Hedges,Psychology,Brigham Young University,4.4,2.1,80,93.75
VGVhY2hlci0yODA2NTUz,2806553,Stephanie,Reynolds,Life Sciences,Brigham Young University,4.1,2.6,21,76.1905
VGVhY2hlci0yMTU1NTA1,2155505,Christine,Beck,Psychology,Brigham Young University,4.3,2.8,12,83.3333
VGVhY2hlci0yNDUwMTAw,2450100,Marty,Matheson,Social Work,Brigham Young University,4.5,1.6,11,90.9091
VGVhY2hlci0yMzU5NDU1,2359455,Cynthia,Finlayson,Anthropology,Brigham Young University,2.2,4.2,9,33.3333
VGVhY2hlci0zMDY0MTg1,3064185,Stu,Spendlove,Psychology,Brigham Young University,5,3,1,100
VGVhY2hlci00NTcwOA==,45708,Lauri,Haddock,Fine Arts,Brigham Young University,3.7,3.1,260,62.2807
VGVhY2hlci0xNzc0ODQy,1774842,Jacob,Rugh,Sociology,Brigham Young University,4.2,3.2,102,86.8421
VGVhY2hlci0xOTI5Nzc3,1929777,Dawn-Marie,Wood,Psychology,Brigham Young University,4.3,2.4,95,81.8182
VGVhY2hlci0xMjAzMzky,1203392,Teisha,Vest,Theatre & Media Arts,Brigham Young University,4.7,2,83,94.2029
VGVhY2hlci0xNzUyNTUw,1752550,Natalie,Nielson,Humanities,Brigham Young University,4.1,3,70,79.6875
VGVhY2hlci01NzU2NzU=,575675,Daniel,Zappala,Computer Science,Brigham Young University,4.3,2.9,35,75
VGVhY2hlci0xODA0MzEx,1804311,Amy,Tanner,Mathematics Education,Brigham Young University,4.6,2.4,32,88.8889
VGVhY2hlci0yMjU1ODU3,2255857,Loren,Smith,Student Life,Brigham Young University,5,1,17,100
VGVhY2hlci0yNzI2ODUw,2726850,Tyler,Aughenbaugh,Health & Physical Education,Brigham Young University,5,1,15,100
VGVhY2hlci0yNzc1ODI5,2775829,Joe,Cochran,Religion,Brigham Young University,4.5,2.2,13,84.6154
VGVhY2hlci0zMDIwMDM3,3020037,Ari,Coleman,Philosophy,Brigham Young University,4.7,3.1,9,87.5
VGVhY2hlci0yMjIwMjM4,2220238,Michael,Easterling,Humanities,Brigham Young University,4.5,2.6,182,85.7143
VGVhY2hlci0yNDA0NTAx,2404501,Keith,Proctor,Teaching & Learning,Brigham Young University,4.7,1.4,23,95.6522
VGVhY2hlci0yNzk2MDA5,2796009,Shawn,Healey,Religion,Brigham Young University,4.9,1.2,17,100
VGVhY2hlci0zMTEwNDIx,3110421,Katelyn,Williams,Health & Physical Education,Brigham Young University,5,1,2,100
VGVhY2hlci0xNDUwMjE2,1450216,Joseph,Brignone,Economics,Brigham Young University,3.5,3.4,56,71.875
VGVhY2hlci0yNzAxNjI1,2701625,Scott,Lloyd,Electrical Engineering,Brigham Young University,3.5,3.5,12,75
VGVhY2hlci0xMTM3NjM5,1137639,Len,Novilla,Health Science,Brigham Young University,2.9,3.8,90,40.678
VGVhY2hlci0xMTA5NzMy,1109732,David,Thomson,Physiology,Brigham Young University,4.3,3,62,81.8182
VGVhY2hlci0yMzg3ODA2,2387806,Chad,Conrad,Philosophy,Brigham Young University,4.6,1.9,39,84.6154
VGVhY2hlci0yOTQ4OTcx,2948971,Erin,Martin,Mathematics,Brigham Young University,4.2,4.3,13,76.9231
VGVhY2hlci0yNDE5ODg2,2419886,Haley,Anderson,Teaching amp Learning,Brigham Young University,5,2,2,100
VGVhY2hlci0zODE5MjU=,381925,Daniel,Belnap,Religion,Brigham Young University,3.9,3,194,56.9444
VGVhY2hlci01NDU5NTU=,545955,Matthew,Linford,Chemistry,Brigham Young University,3.6,3.6,164,60.241
VGVhY2hlci0yNzE5ODg3,2719887,Joseph,Cochran,Religion,Brigham Young University,4.3,2.2,49,83.6735
VGVhY2hlci0xMjU2MzMw,1256330,Kenyon,Platt,Mathematics,Brigham Young University,2.7,3.7,33,25.9259
